TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,COLUMN_NAME,ORDINAL_POSITION,CONSTRAINT_NAME,CONSTRAINT_SCHEMA,CONSTRAINT_CATALOG,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME,REFERENCED_TABLE_SCHEMA,POSITION_IN_UNIQUE_CONSTRAINT
vestilprod,<blank>,PRIMARY,360pic,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,Casters,1,<blank>,<blank>,<blank>,Model,vestilprod,def,def
vestilprod,<blank>,PRIMARY,Category,1,<blank>,<blank>,<blank>,FID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,Color,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,ExtBody,1,<blank>,<blank>,<blank>,FID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,FAQ,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,Family,1,<blank>,<blank>,<blank>,FID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,Images,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,IndustryCat,1,<blank>,<blank>,<blank>,IID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,Jobs,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,Mailing,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,ProductData,1,<blank>,<blank>,<blank>,Model,vestilprod,def,def
vestilprod,<blank>,PRIMARY,SDS,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,SDSModels,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,SKU,1,<blank>,<blank>,<blank>,SKU,vestilprod,def,def
vestilprod,<blank>,PRIMARY,SND,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,Tabs,1,<blank>,<blank>,<blank>,FID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,WGI,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,catalogs,1,<blank>,<blank>,<blank>,Vestil,vestilprod,def,def
vestilprod,<blank>,PRIMARY,certificates,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,drawings,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,industry,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,manuals,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,surveys,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,syndigo,1,<blank>,<blank>,<blank>,Model,vestilprod,def,def
vestilprod,<blank>,PRIMARY,vback,1,<blank>,<blank>,<blank>,id,vestilprod,def,def
vestilprod,<blank>,PRIMARY,vcasters,1,<blank>,<blank>,<blank>,Model,vestilprod,def,def
vestilprod,<blank>,PRIMARY,vemployee,1,<blank>,<blank>,<blank>,id,vestilprod,def,def
vestilprod,<blank>,PRIMARY,vestilian,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,vleadtime,1,<blank>,<blank>,<blank>,Model,vestilprod,def,def
vestilprod,<blank>,PRIMARY,vleadtime_test,1,<blank>,<blank>,<blank>,Model,vestilprod,def,def
vestilprod,<blank>,PRIMARY,vmatrix,1,<blank>,<blank>,<blank>,model,vestilprod,def,def
vestilprod,<blank>,PRIMARY,vnewprod,1,<blank>,<blank>,<blank>,Model,vestilprod,def,def
vestilprod,<blank>,PRIMARY,voption,1,<blank>,<blank>,<blank>,Model,vestilprod,def,def
vestilprod,<blank>,PRIMARY,voverstock,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,vquickship,1,<blank>,<blank>,<blank>,Model,vestilprod,def,def
vestilprod,<blank>,PRIMARY,vspecials,1,<blank>,<blank>,<blank>,ID,vestilprod,def,def
vestilprod,<blank>,PRIMARY,zks-proposal1,1,<blank>,<blank>,<blank>,model,vestilprod,def,def

